,begin,end,time interval,start count,alive count,stop count,incoming,outcoming,error_count,code 0,code 1011,code 1100,code -3,code -52,code -42,code -21,code -40,code -44,code -46,code -38
begin,1.0,0.7792707936086473,-0.18841460233576166,-0.0020409685634656034,-0.17555414085924767,-0.09034714094018811,-0.028968160848409846,-0.0841260615753302,-0.014882410857243029,,,,,,-0.014882410857243029,,,,,
end,0.7792707936086473,1.0,0.46863711443813005,0.0022418617322908715,0.4602442521190874,-0.09335153065087572,0.06053775918729771,0.20171726332206655,-0.050382304244835155,,,,,,-0.050382304244835155,,,,,
time interval,-0.18841460233576166,0.46863711443813005,1.0,0.006390238859909903,0.9687190818503344,-0.01893724966062294,0.13570356695498706,0.43469939166674026,-0.05797620084553006,,,,,,-0.05797620084553006,,,,,
start count,-0.0020409685634656034,0.0022418617322908715,0.006390238859909903,1.0,0.011241183184157712,0.02578385068087013,0.0014669774454757105,0.004767378856117754,0.0026109173480945405,,,,,,0.0026109173480945405,,,,,
alive count,-0.17555414085924767,0.4602442521190874,0.9687190818503344,0.011241183184157712,1.0,-0.07991912960487786,0.14615138886262247,0.46869434723007397,-0.05218511328723854,,,,,,-0.05218511328723854,,,,,
stop count,-0.09034714094018811,-0.09335153065087572,-0.01893724966062294,0.02578385068087013,-0.07991912960487786,1.0,0.0026474498447551014,-0.0302186875901749,-0.10084134040324608,,,,,,-0.10084134040324608,,,,,
incoming,-0.028968160848409846,0.06053775918729771,0.13570356695498706,0.0014669774454757105,0.14615138886262247,0.0026474498447551014,1.0,0.31015316165520307,-0.006557630401486746,,,,,,-0.006557630401486746,,,,,
outcoming,-0.0841260615753302,0.20171726332206655,0.43469939166674026,0.004767378856117754,0.46869434723007397,-0.0302186875901749,0.31015316165520307,1.0,-0.02168722523412802,,,,,,-0.02168722523412802,,,,,
error_count,-0.014882410857243029,-0.050382304244835155,-0.05797620084553006,0.0026109173480945405,-0.05218511328723854,-0.10084134040324608,-0.006557630401486746,-0.02168722523412802,1.0,,,,,,1.0,,,,,
code 0,,,,,,,,,,,,,,,,,,,,
code 1011,,,,,,,,,,,,,,,,,,,,
code 1100,,,,,,,,,,,,,,,,,,,,
code -3,,,,,,,,,,,,,,,,,,,,
code -52,,,,,,,,,,,,,,,,,,,,
code -42,-0.014882410857243029,-0.050382304244835155,-0.05797620084553006,0.0026109173480945405,-0.05218511328723854,-0.10084134040324608,-0.006557630401486746,-0.02168722523412802,1.0,,,,,,1.0,,,,,
code -21,,,,,,,,,,,,,,,,,,,,
code -40,,,,,,,,,,,,,,,,,,,,
code -44,,,,,,,,,,,,,,,,,,,,
code -46,,,,,,,,,,,,,,,,,,,,
code -38,,,,,,,,,,,,,,,,,,,,
